address,fraud_flag,has_transaction_activity,has_token_activity,log_total_transactions,log_unique_receivers,log_unique_senders,log_total_eth_sent,log_total_eth_received,log_avg_eth_sent,log_avg_eth_received,log_wallet_lifetime_days,transactions_per_active_day,avg_gas_limit,avg_gas_price,log_total_token_transfers,log_unique_token_receivers,log_token_activity_lifetime_days,token_transfers_per_active_day
0x2570ba2d3f6ca34351567e525bb9dbe35cb6de05,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.3401054807265704,1.3403551291784455,0.8795118782697698,0.8797097316111544,1.6094379124341003,2.0,21000.0,22705664368.5,0.0,0.0,0.0,0.0
0x997c1b6efa036832d13248bbae71f278f05978dc,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624962752268922,4.624972813284271,3.941571844334588,3.9415818076696905,1.0986122886681098,2.0,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0x3a0356dc70790dc8e4fba51e63d69012cca6a662,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x5339e693a6f553d9f01266351c669d2c4ee8395d,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x5a71c1b631e34f663b028dac44275052838581c9,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xb5d260470c818f2d5a8d886b2a7f24774536df0b,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x30dfc9779d16ef6cc63c461cf17bac74c658f954,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x57e60914ed33c0811804250690fcfe232bd7582a,0,1,0,1.791759469228055,1.0986122886681098,1.0986122886681098,1.7922224120534873,1.792369333223198,1.253159789751398,0.9812866858733603,3.4965075614664802,1.0,21000.0,21000000000.0,0.0,0.0,0.0,0.0
0x545f1e61f79618906864f70520d2531e4c330b4f,0,1,0,1.791759469228055,1.0986122886681098,1.3862943611198906,4.624962752268922,4.624972813284271,3.941571844334588,3.545778610473263,1.0986122886681098,2.5,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0x0bf688b3a097f2e436b8e81247fd76660b48aa1c,0,1,0,2.1972245773362196,1.0986122886681098,0.6931471805599453,0.7343423134554173,0.7349769151395771,0.30849175377330396,0.19646010973823433,3.871201010907891,1.3333333333333333,21000.0,21000000000.0,0.0,0.0,0.0,0.0
0x6d505f6703f07db4e30aa23af50bd55aa4b7958d,0,1,0,2.4849066497880004,1.0986122886681098,1.791759469228055,1.0084869895177473,1.0098463988751996,0.2548295435832787,0.29939016249120454,6.904750769961838,2.75,45166.666666666664,18996148619.333332,0.0,0.0,0.0,0.0
0xcc3a7e3c3cdcba86761de4fb3311b8add77761f2,1,1,0,3.258096538021482,1.0986122886681098,3.091042453358316,3.0334339560077748,3.029501208204798,2.387313489361737,0.618398136330645,2.3978952727983707,6.25,21000.0,74500000000.0,0.0,0.0,0.0,0.0
